time,type
5857,2
5881,1
5904,3
5928,3
5951,0
5974,3
5997,1
6017,3
6041,2
6065,3
6085,0
6110,0
6130,3
6152,3
6171,1
6192,2
6220,0
6240,0
6260,3
6284,1
6307,3
6334,0
6354,2
6377,1
6400,0
6424,1
6444,0
6463,2
6487,3
6506,0
6528,0
6550,1
6577,0
6596,0
6620,1
6640,3
6657,2
6679,3
6702,0
6725,0
6748,2
6773,1
6792,3
6816,3
6839,0
6862,2
6882,3
6905,3
6928,0
6948,0
6968,2
6990,1
7018,1
7042,3
7064,0
7084,2
7108,2
7130,1
7151,3
7174,0
7194,2
7214,1
7237,3
7263,0
7284,2
7303,1
7322,3
7350,0
7370,2
7397,1
7421,3
7457,0
7483,2
7507,1
7527,3
7551,0
7569,2
7594,1
7617,0
7644,0
7663,2
7688,1
7707,3
7731,0
7754,2
7776,3
7797,1
7816,2
7840,0
8029,0
8052,2
8072,1
8092,3
8111,0
8131,2
8146,2
8167,1
8186,3
8215,0
8239,0
8266,1
8284,0
8308,2
8331,1
8349,3
8374,3
8394,0
8421,3
8441,3
8456,1
8479,2
8499,3
8522,3
8543,0
8567,2
8591,1
8619,0
8642,1
8662,0
8681,2
8705,0
8728,1
8751,0
8772,3
8792,3
8807,1
8827,2
8851,0
8879,1
8899,2
8922,3
8946,3
8969,0
8989,2
9012,1
9034,0
9061,0
9087,3
9103,1
9125,2
9148,0
9169,0
9192,3
9217,1
9235,2
9258,3
9283,3
9306,1
9322,2
9346,0
9369,3
9393,3
9412,2
9440,3
9463,3
9486,1
9509,2
9527,0
9549,3
9574,3
9589,1
9617,3
9639,3
9664,3
9683,0
9707,2
9731,1
9751,3
9770,3
9802,3
9830,3
9856,0
9884,0
9907,2
9927,2
9950,0
9974,0
9998,3
10017,3
10037,1
10061,3
10084,3
10098,2
10126,3
10141,1
10168,0
10192,0
10216,1
10238,1
10258,2
10281,2
10301,0
10324,0
10347,3
10374,3
10390,1
10415,2
10439,0
10461,0
10487,1
10509,0
10533,1
10553,0
10573,2
10592,0
10616,3
10644,3
10663,3
10689,1
10712,2
10732,0
10750,3
10774,3
10793,1
10821,0
10841,2
10865,1
10888,0
10888,3
10912,2
10931,1
10955,3
10980,0
11002,2
11022,2
11043,0
11067,1
11067,3
11091,2
11114,0
11135,3
11153,1
11176,2
11193,0
11221,3
11381,1
11396,3
11424,0
11440,2
11460,1
11484,0
11507,0
11532,2
11547,1
11570,1
11593,3
11622,3
11641,1
11661,2
11684,0
11707,0
11730,3
11755,1
11776,2
11799,1
11823,0
11842,3
11861,1
11885,2
11906,0
11929,3
11950,1
11969,2
11994,0
12018,3
12038,1
12058,2
12081,0
12105,2
12128,3
12153,1
12173,2
12192,0
12211,2
12235,2
12256,0
12275,3
12306,3
12329,3
12353,1
12372,2
12395,0
12416,3
12440,1
12460,2
12480,0
12502,0
12522,1
12543,0
12563,2
12587,2
12610,0
12635,3
12654,1
12682,0
12709,0
12732,2
12752,0
12776,0
12800,3
12819,3
12842,0
12867,2
12887,2
12910,3
12928,0
12949,2
12969,1
12989,3
13017,0
13041,0
13064,2
13089,1
13106,3
13130,3
13154,0
13173,2
13194,1
13216,3
13244,0
13263,2
13282,0
13307,3
13325,1
13349,2
13373,0
13396,3
13415,3
13439,1
13459,2
13482,3
13502,3
13526,1
13551,3
13574,3
13594,2
13616,0
13641,0
13663,2
13683,1
13711,0
13731,0
13754,0
13774,3
13792,1
13813,2
13832,3
13856,0
13879,0
13898,2
13919,1
13945,3
13970,3
13988,2
14005,3
14030,1
14053,2
14073,0
14097,0
14121,1
14144,0
14164,2
14187,3
14211,1
14228,1
14247,0
14269,3
14289,2
14309,2
14332,1
14355,3
14375,3
14395,2
14417,1
14440,0
14463,0
14486,1
14506,2
14532,0
14555,1
14575,0
14575,3
14598,2
